SEGMENT_ID,PROD_ID,USR_ID,START_TIME,STOP_TIME,RUN_TIME,MASS_TOTAL,ADD1_TOTAL,ADD2_TOTAL,ADD3_TOTAL,ADD4_TOTAL,ADD5_TOTAL,TOTAL_INCL_ADDITIVES,ADD1_PERCENT,ADD2_PERCENT,ADD3_PERCENT,ADD4_PERCENT,ADD5_PERCENT
SEG_010126_135707_01,010126_135707,N/A,2026-01-01T13:57:07,2026-01-01T23:59:59,31057,30.107,0.49978,0.68042,0.46365,0.12645,0.21376,32.09106,1.66,2.26,1.54,0.42,0.71
SEG_010126_135707_02,010126_135707,N/A,2026-01-02T00:00:00,2026-01-02T11:08:27,37940,30.95,0.54472,0.62828,0.50448,0.13928,0.21665,32.98341,1.76,2.03,1.63,0.45,0.7
SEG_010226_163657_01,010226_163657,N/A,2026-01-02T16:36:57,2026-01-02T23:59:59,24424,21.726,0.43669,0.15425,0.41714,0.19553,0.14991,23.07952,2.01,0.71,1.92,0.9,0.69
SEG_010226_163657_02,010226_163657,N/A,2026-01-03T00:00:00,2026-01-03T23:59:59,68066,71.713,1.41992,0.48765,1.29801,0.71713,0.44462,76.08033,1.98,0.68,1.81,1.0,0.62
SEG_010226_163657_03,010226_163657,N/A,2026-01-04T00:00:00,2026-01-04T11:38:17,32399,31.101,0.63757,0.25503,0.56915,0.34211,0.18039,33.08525,2.05,0.82,1.83,1.1,0.58
SEG_010426_201632_01,010426_201632,N/A,2026-01-04T20:16:32,2026-01-04T23:59:59,12054,12.565,0.15832,0.13068,0.14198,0.10806,0.11685,13.22089,1.26,1.04,1.13,0.86,0.93
SEG_010426_201632_02,010426_201632,N/A,2026-01-05T00:00:00,2026-01-05T09:04:33,30981,27.704,0.34353,0.27704,0.24657,0.1967,0.29089,29.05873,1.24,1.0,0.89,0.71,1.05
SEG_010526_204555_01,010526_204555,N/A,2026-01-05T20:45:55,2026-01-05T23:59:59,10264,11.537,0.3288,0.25151,0.1869,0.08537,0.09345,12.48303,2.85,2.18,1.62,0.74,0.81
SEG_010526_204555_02,010526_204555,N/A,2026-01-06T00:00:00,2026-01-06T15:02:00,46866,50.271,1.41262,1.21153,0.8345,0.31168,0.49266,54.53399,2.81,2.41,1.66,0.62,0.98
SEG_010626_224554_01,010626_224554,N/A,2026-01-06T22:45:54,2026-01-06T23:59:59,3684,3.435,0.0845,0.06355,0.07042,0.01168,0.0,3.66515,2.46,1.85,2.05,0.34,0.0
SEG_010626_224554_02,010626_224554,N/A,2026-01-07T00:00:00,2026-01-07T23:59:59,78206,91.417,2.41341,1.66379,1.76435,0.23768,0.07313,97.56936,2.64,1.82,1.93,0.26,0.08
SEG_010626_224554_03,010626_224554,N/A,2026-01-08T00:00:00,2026-01-08T08:43:24,25901,28.895,0.76283,0.52011,0.54034,0.14159,0.02601,30.88588,2.64,1.8,1.87,0.49,0.09
SEG_010826_215243_01,010826_215243,N/A,2026-01-08T21:52:43,2026-01-08T23:59:59,7235,6.947,0.20077,0.15978,0.06252,0.066,0.05974,7.49581,2.89,2.3,0.9,0.95,0.86
