PROD_ID,PROD_NUM,PROD_DESC,RECIPE_NAME,ADD1_RECIPE_SP,ADD2_RECIPE_SP,ADD3_RECIPE_SP,ADD4_RECIPE_SP,ADD5_RECIPE_SP
020126_085915,020126_085915,N/A,Recipe42,3.12,2.35,1.46,0.75,0.11
020226_070802,020226_070802,N/A,Recipe87,1.32,1.9,0.64,1.12,0.9
020426_042806,020426_042806,N/A,Recipe20,1.86,2.18,1.29,0.91,0.33
020526_112020,020526_112020,N/A,Recipe81,3.15,1.8,1.31,0.34,0.24
020726_072003,020726_072003,N/A,Recipe67,1.76,1.73,0.94,1.2,0.48
020926_172643,020926_172643,N/A,Recipe52,2.54,1.65,1.16,0.6,0.36
021026_225055,021026_225055,N/A,Recipe65,1.94,1.94,1.45,0.26,0.32
021326_001937,021326_001937,N/A,Recipe54,2.96,1.46,1.41,1.1,0.66
021526_070951,021526_070951,N/A,Recipe80,2.85,2.11,1.89,1.39,0.93
021626_043110,021626_043110,N/A,Recipe99,3.67,0.53,0.9,0.58,0.96
021626_174534,021626_174534,N/A,Recipe88,2.35,1.24,1.49,0.54,0.25
021826_011635,021826_011635,N/A,Recipe24,2.14,1.05,1.18,1.27,0.29
021926_042029,021926_042029,N/A,Recipe22,2.27,0.95,1.75,0.77,0.57
022026_144806,022026_144806,N/A,Recipe16,1.1,0.71,0.89,0.82,0.59
022126_123812,022126_123812,N/A,Recipe79,2.03,2.47,1.92,1.48,0.93
022326_002827,022326_002827,N/A,Recipe47,2.27,1.09,1.64,0.4,0.62
022526_011331,022526_011331,N/A,Recipe96,1.41,1.15,0.76,1.0,0.52
022626_063117,022626_063117,N/A,Recipe14,2.41,1.54,0.53,1.34,0.91
022726_001248,022726_001248,N/A,Recipe99,2.0,1.66,1.07,0.82,0.94
022826_102112,022826_102112,N/A,Recipe22,1.68,0.9,1.97,0.12,0.8
