PROD_ID,PROD_NUM,PROD_DESC,RECIPE_NAME
060126_140146,060126_140146,N/A,Recipe61
060226_125733,060226_125733,N/A,Recipe64
060326_021943,060326_021943,N/A,Recipe18
060526_045128,060526_045128,N/A,Recipe29
060626_135923,060626_135923,N/A,Recipe54
060826_033224,060826_033224,N/A,Recipe52
061026_113909,061026_113909,N/A,Recipe28
061226_125318,061226_125318,N/A,Recipe4
061426_013942,061426_013942,N/A,Recipe65
061426_131422,061426_131422,N/A,Recipe46
061626_032631,061626_032631,N/A,Recipe28
061726_211725,061726_211725,N/A,Recipe97
061926_170932,061926_170932,N/A,Recipe90
062026_162756,062026_162756,N/A,Recipe66
062226_163258,062226_163258,N/A,Recipe71
062426_111910,062426_111910,N/A,Recipe79
062526_120519,062526_120519,N/A,Recipe2
062626_081211,062626_081211,N/A,Recipe6
062826_162007,062826_162007,N/A,Recipe62
063026_144449,063026_144449,N/A,Recipe99
