PROD_ID,PROD_NUM,PROD_DESC,RECIPE_NAME
010626_060951,010626_060951,N/A,Recipe1
020626_222940,020626_222940,N/A,Recipe2
040626_123348,040626_123348,N/A,Recipe3
050626_234047,050626_234047,N/A,Recipe4
060626_090740,060626_090740,N/A,Recipe5
090626_034945,090626_034945,N/A,Recipe6
100626_074027,100626_074027,N/A,Recipe7
110626_211657,110626_211657,N/A,Recipe1
130626_121233,130626_121233,N/A,Recipe2
150626_213342,150626_213342,N/A,Recipe3
160626_222328,160626_222328,N/A,Recipe4
170626_220246,170626_220246,N/A,Recipe5
190626_161515,190626_161515,N/A,Recipe6
210626_002144,210626_002144,N/A,Recipe7
220626_124217,220626_124217,N/A,Recipe1
240626_131536,240626_131536,N/A,Recipe2
250626_052053,250626_052053,N/A,Recipe3
260626_154541,260626_154541,N/A,Recipe4
280626_124702,280626_124702,N/A,Recipe5
300626_055821,300626_055821,N/A,Recipe6
