SEGMENT_ID,PROD_ID,USR_ID,START_TIME,STOP_TIME,RUN_TIME,MASS_TOTAL,ADD1_TOTAL,ADD2_TOTAL,ADD3_TOTAL,ADD4_TOTAL,ADD5_TOTAL,TOTAL_INCL_ADDITIVES,ADD1_PERCENT,ADD2_PERCENT,ADD3_PERCENT,ADD4_PERCENT,ADD5_PERCENT
SEG_010626_060951_060951,010626_060951,N/A,2026-06-01T06:09:51,2026-06-01T07:57:21,6450,8.311,0.066,0.030,0.008,0.010,0.005,8.430,0.79,0.36,0.10,0.12,0.06
SEG_010626_060951_080744,010626_060951,N/A,2026-06-01T08:07:44,2026-06-01T11:27:16,11972,7.100,0.091,0.029,0.009,0.007,0.002,7.238,1.25,0.40,0.12,0.10,0.04
SEG_010626_060951_112716,010626_060951,N/A,2026-06-01T11:27:16,2026-06-01T14:44:03,11807,10.873,0.095,0.049,0.012,0.009,0.006,11.044,0.86,0.45,0.11,0.08,0.05
SEG_010626_060951_144403,010626_060951,N/A,2026-06-01T14:44:03,2026-06-01T17:24:41,9638,5.139,0.046,0.025,0.009,0.004,0.003,5.226,0.88,0.48,0.17,0.07,0.05
SEG_010626_060951_173239,010626_060951,N/A,2026-06-01T17:32:39,2026-06-01T19:57:02,8663,7.486,0.103,0.029,0.012,0.009,0.003,7.642,1.34,0.38,0.15,0.12,0.05
SEG_020626_222940_222940,020626_222940,N/A,2026-06-02T22:29:40,2026-06-02T23:59:59,5419,9.484,0.151,0.035,0.014,0.008,0.006,9.698,1.56,0.36,0.14,0.08,0.06
SEG_020626_222940_000000,020626_222940,N/A,2026-06-03T00:00:00,2026-06-03T00:22:06,1326,5.554,0.060,0.019,0.008,0.006,0.003,5.650,1.07,0.33,0.14,0.10,0.05
SEG_020626_222940_003441,020626_222940,N/A,2026-06-03T00:34:41,2026-06-03T03:20:31,9950,10.235,0.127,0.038,0.010,0.012,0.004,10.426,1.22,0.37,0.10,0.11,0.04
SEG_020626_222940_032948,020626_222940,N/A,2026-06-03T03:29:48,2026-06-03T04:58:19,5311,6.474,0.073,0.018,0.011,0.006,0.002,6.584,1.11,0.27,0.17,0.09,0.03
SEG_040626_123348_123348,040626_123348,N/A,2026-06-04T12:33:48,2026-06-04T14:08:50,5702,6.837,0.063,0.029,0.011,0.005,0.004,6.949,0.91,0.42,0.17,0.08,0.04
SEG_040626_123348_142431,040626_123348,N/A,2026-06-04T14:24:31,2026-06-04T16:05:42,6071,5.919,0.090,0.015,0.009,0.007,0.002,6.042,1.48,0.26,0.14,0.11,0.04
SEG_040626_123348_162533,040626_123348,N/A,2026-06-04T16:25:33,2026-06-04T19:59:49,12856,11.544,0.146,0.033,0.020,0.011,0.006,11.760,1.24,0.28,0.17,0.09,0.05
SEG_050626_234047_234047,050626_234047,N/A,2026-06-05T23:40:47,2026-06-05T23:59:59,1152,8.045,0.108,0.032,0.014,0.007,0.003,8.209,1.32,0.39,0.17,0.09,0.04
SEG_050626_234047_000000,050626_234047,N/A,2026-06-06T00:00:00,2026-06-06T03:21:28,12088,5.627,0.059,0.020,0.006,0.003,0.004,5.719,1.04,0.36,0.10,0.06,0.05
SEG_050626_234047_032128,050626_234047,N/A,2026-06-06T03:21:28,2026-06-06T05:05:21,6233,7.407,0.089,0.019,0.013,0.009,0.003,7.540,1.17,0.25,0.17,0.12,0.05
SEG_050626_234047_051741,050626_234047,N/A,2026-06-06T05:17:41,2026-06-06T07:44:20,8799,9.179,0.136,0.037,0.010,0.011,0.003,9.376,1.45,0.39,0.10,0.11,0.05
SEG_050626_234047_080132,050626_234047,N/A,2026-06-06T08:01:32,2026-06-06T12:04:35,14583,7.728,0.086,0.025,0.010,0.006,0.004,7.859,1.10,0.32,0.12,0.07,0.06
SEG_050626_234047_120435,050626_234047,N/A,2026-06-06T12:04:35,2026-06-06T14:25:29,8454,6.993,0.100,0.033,0.009,0.008,0.003,7.146,1.40,0.46,0.12,0.11,0.04
SEG_060626_090740_090740,060626_090740,N/A,2026-06-06T09:07:40,2026-06-06T13:03:00,14120,8.169,0.114,0.032,0.010,0.006,0.004,8.335,1.37,0.38,0.11,0.07,0.07
SEG_060626_090740_130944,060626_090740,N/A,2026-06-06T13:09:44,2026-06-06T15:33:26,8622,6.884,0.097,0.031,0.007,0.005,0.004,7.028,1.38,0.44,0.11,0.07,0.05
SEG_060626_090740_154345,060626_090740,N/A,2026-06-06T15:43:45,2026-06-06T19:06:30,12165,11.986,0.143,0.056,0.014,0.014,0.008,12.221,1.17,0.46,0.12,0.11,0.07
SEG_060626_090740_192444,060626_090740,N/A,2026-06-06T19:24:44,2026-06-06T22:18:33,10429,5.500,0.066,0.017,0.009,0.006,0.003,5.601,1.18,0.30,0.16,0.11,0.06
SEG_090626_034945_034945,090626_034945,N/A,2026-06-09T03:49:45,2026-06-09T06:41:29,10304,10.399,0.122,0.047,0.009,0.009,0.007,10.593,1.15,0.44,0.09,0.09,0.06
SEG_090626_034945_065002,090626_034945,N/A,2026-06-09T06:50:02,2026-06-09T10:05:48,11746,7.724,0.126,0.039,0.008,0.008,0.004,7.909,1.59,0.50,0.10,0.10,0.06
SEG_090626_034945_101253,090626_034945,N/A,2026-06-09T10:12:53,2026-06-09T12:28:43,8150,8.369,0.088,0.029,0.008,0.009,0.005,8.508,1.03,0.34,0.09,0.10,0.07
SEG_100626_074027_074027,100626_074027,N/A,2026-06-10T07:40:27,2026-06-10T08:51:13,4246,6.172,0.063,0.017,0.010,0.004,0.003,6.269,1.01,0.28,0.16,0.06,0.03
SEG_100626_074027_085113,100626_074027,N/A,2026-06-10T08:51:13,2026-06-10T12:07:39,11786,9.819,0.091,0.045,0.011,0.009,0.005,9.980,0.91,0.45,0.11,0.09,0.06
SEG_100626_074027_122536,100626_074027,N/A,2026-06-10T12:25:36,2026-06-10T16:22:58,14242,5.420,0.059,0.016,0.007,0.004,0.003,5.509,1.08,0.29,0.13,0.07,0.05
SEG_100626_074027_163729,100626_074027,N/A,2026-06-10T16:37:29,2026-06-10T20:40:10,14561,10.297,0.153,0.038,0.011,0.011,0.005,10.515,1.46,0.36,0.10,0.10,0.04
SEG_110626_211657_211657,110626_211657,N/A,2026-06-11T21:16:57,2026-06-11T23:59:59,9782,9.946,0.127,0.040,0.013,0.010,0.004,10.140,1.25,0.39,0.13,0.09,0.05
SEG_110626_211657_000000,110626_211657,N/A,2026-06-12T00:00:00,2026-06-12T00:36:09,2169,7.266,0.087,0.035,0.010,0.008,0.004,7.410,1.17,0.48,0.14,0.11,0.04
SEG_110626_211657_004849,110626_211657,N/A,2026-06-12T00:48:49,2026-06-12T03:16:13,8844,10.736,0.135,0.040,0.017,0.010,0.007,10.945,1.24,0.37,0.15,0.09,0.06
SEG_110626_211657_031613,110626_211657,N/A,2026-06-12T03:16:13,2026-06-12T07:12:06,14153,10.998,0.161,0.035,0.017,0.011,0.005,11.227,1.43,0.31,0.15,0.10,0.05
SEG_130626_121233_121233,130626_121233,N/A,2026-06-13T12:12:33,2026-06-13T15:35:04,12151,10.360,0.096,0.034,0.013,0.008,0.003,10.514,0.91,0.32,0.12,0.08,0.04
SEG_130626_121233_154048,130626_121233,N/A,2026-06-13T15:40:48,2026-06-13T17:22:54,6126,6.250,0.051,0.017,0.006,0.004,0.004,6.332,0.81,0.28,0.10,0.06,0.06
SEG_130626_121233_173615,130626_121233,N/A,2026-06-13T17:36:15,2026-06-13T21:06:30,12615,9.368,0.122,0.025,0.010,0.010,0.003,9.538,1.28,0.26,0.10,0.10,0.03
SEG_130626_121233_210630,130626_121233,N/A,2026-06-13T21:06:30,2026-06-13T23:59:59,10409,8.440,0.132,0.023,0.014,0.005,0.004,8.618,1.53,0.27,0.16,0.06,0.05
SEG_130626_121233_000000,130626_121233,N/A,2026-06-14T00:00:00,2026-06-14T01:12:14,4334,11.568,0.133,0.041,0.018,0.013,0.004,11.777,1.13,0.34,0.15,0.11,0.04
SEG_130626_121233_011826,130626_121233,N/A,2026-06-14T01:18:26,2026-06-14T03:48:05,8979,5.546,0.054,0.022,0.005,0.004,0.003,5.634,0.96,0.39,0.09,0.07,0.05
SEG_150626_213342_213342,150626_213342,N/A,2026-06-15T21:33:42,2026-06-15T23:59:59,8777,9.377,0.089,0.043,0.012,0.006,0.004,9.531,0.93,0.45,0.12,0.07,0.06
SEG_150626_213342_000000,150626_213342,N/A,2026-06-16T00:00:00,2026-06-16T01:16:02,4562,7.506,0.089,0.032,0.013,0.005,0.003,7.648,1.17,0.42,0.17,0.07,0.04
SEG_150626_213342_012647,150626_213342,N/A,2026-06-16T01:26:47,2026-06-16T05:33:00,14773,6.107,0.101,0.023,0.007,0.005,0.004,6.247,1.62,0.36,0.12,0.08,0.07
SEG_150626_213342_054420,150626_213342,N/A,2026-06-16T05:44:20,2026-06-16T08:43:35,10755,10.349,0.120,0.046,0.015,0.010,0.005,10.545,1.14,0.44,0.14,0.09,0.04
SEG_160626_222328_222328,160626_222328,N/A,2026-06-16T22:23:28,2026-06-16T23:59:59,5791,5.001,0.041,0.016,0.004,0.003,0.004,5.069,0.81,0.32,0.09,0.07,0.06
SEG_160626_222328_000000,160626_222328,N/A,2026-06-17T00:00:00,2026-06-17T01:18:34,4714,5.046,0.083,0.016,0.006,0.006,0.002,5.159,1.61,0.30,0.11,0.11,0.07
SEG_160626_222328_011834,160626_222328,N/A,2026-06-17T01:18:34,2026-06-17T04:56:25,13071,8.579,0.110,0.035,0.008,0.008,0.003,8.743,1.26,0.40,0.09,0.09,0.04
SEG_160626_222328_051121,160626_222328,N/A,2026-06-17T05:11:21,2026-06-17T07:26:14,8093,6.631,0.099,0.018,0.008,0.008,0.004,6.768,1.46,0.27,0.12,0.12,0.06
SEG_160626_222328_074445,160626_222328,N/A,2026-06-17T07:44:45,2026-06-17T11:03:10,11905,6.210,0.094,0.027,0.009,0.007,0.003,6.350,1.47,0.43,0.14,0.12,0.05
SEG_170626_220246_220246,170626_220246,N/A,2026-06-17T22:02:46,2026-06-17T23:59:59,7033,5.549,0.047,0.025,0.007,0.006,0.002,5.636,0.83,0.45,0.12,0.11,0.05
SEG_170626_220246_000000,170626_220246,N/A,2026-06-18T00:00:00,2026-06-18T00:53:38,3218,11.075,0.171,0.035,0.016,0.011,0.004,11.312,1.51,0.31,0.14,0.10,0.03
SEG_170626_220246_005338,170626_220246,N/A,2026-06-18T00:53:38,2026-06-18T03:44:44,10266,5.379,0.067,0.018,0.007,0.004,0.004,5.479,1.22,0.33,0.14,0.08,0.06
SEG_170626_220246_040113,170626_220246,N/A,2026-06-18T04:01:13,2026-06-18T06:55:09,10436,11.797,0.170,0.048,0.011,0.010,0.008,12.044,1.41,0.40,0.09,0.09,0.06
SEG_170626_220246_070553,170626_220246,N/A,2026-06-18T07:05:53,2026-06-18T08:35:05,5352,8.331,0.120,0.033,0.009,0.007,0.004,8.504,1.41,0.39,0.11,0.08,0.05
SEG_170626_220246_085305,170626_220246,N/A,2026-06-18T08:53:05,2026-06-18T10:36:34,6209,8.366,0.080,0.030,0.012,0.008,0.006,8.502,0.95,0.35,0.14,0.09,0.07
SEG_190626_161515_161515,190626_161515,N/A,2026-06-19T16:15:15,2026-06-19T18:34:37,8362,10.437,0.112,0.052,0.010,0.011,0.005,10.627,1.05,0.49,0.09,0.10,0.05
SEG_190626_161515_184505,190626_161515,N/A,2026-06-19T18:45:05,2026-06-19T21:25:49,9644,9.157,0.074,0.030,0.016,0.009,0.007,9.293,0.80,0.33,0.17,0.10,0.07
SEG_190626_161515_213318,190626_161515,N/A,2026-06-19T21:33:18,2026-06-19T23:59:59,8801,5.314,0.080,0.016,0.006,0.006,0.003,5.425,1.47,0.30,0.12,0.11,0.06
