SEGMENT_ID,PROD_ID,USR_ID,START_TIME,STOP_TIME,RUN_TIME,MASS_TOTAL,ADD1_TOTAL,ADD2_TOTAL,ADD3_TOTAL,ADD4_TOTAL,ADD5_TOTAL,TOTAL_INCL_ADDITIVES,ADD1_PERCENT,ADD2_PERCENT,ADD3_PERCENT,ADD4_PERCENT,ADD5_PERCENT
SEG_010226_022706_022706,010226_022706,N/A,2026-02-01T02:27:06,2026-02-01T04:01:12,5646,8.106,0.113,0.040,0.007,0.009,0.004,8.279,1.36,0.49,0.09,0.11,0.04
SEG_010226_022706_040841,010226_022706,N/A,2026-02-01T04:08:41,2026-02-01T06:22:01,8000,8.718,0.112,0.041,0.009,0.006,0.004,8.890,1.25,0.46,0.10,0.06,0.06
SEG_010226_022706_063107,010226_022706,N/A,2026-02-01T06:31:07,2026-02-01T09:53:40,12153,11.390,0.104,0.043,0.012,0.009,0.004,11.562,0.90,0.37,0.11,0.07,0.03
SEG_010226_022706_095340,010226_022706,N/A,2026-02-01T09:53:40,2026-02-01T12:18:52,8712,9.743,0.090,0.036,0.011,0.010,0.006,9.896,0.91,0.36,0.12,0.10,0.06
SEG_010226_022706_122808,010226_022706,N/A,2026-02-01T12:28:08,2026-02-01T15:39:32,11484,10.917,0.105,0.039,0.014,0.008,0.006,11.089,0.95,0.35,0.13,0.07,0.05
SEG_030226_181844_181844,030226_181844,N/A,2026-02-03T18:18:44,2026-02-03T19:31:23,4359,11.846,0.161,0.039,0.016,0.012,0.008,12.082,1.33,0.32,0.14,0.10,0.06
SEG_030226_181844_194643,030226_181844,N/A,2026-02-03T19:46:43,2026-02-03T23:09:01,12138,10.830,0.170,0.050,0.012,0.012,0.005,11.079,1.54,0.45,0.10,0.11,0.04
SEG_030226_181844_231817,030226_181844,N/A,2026-02-03T23:18:17,2026-02-03T23:59:59,2502,9.766,0.089,0.027,0.014,0.006,0.006,9.908,0.90,0.27,0.14,0.06,0.06
SEG_030226_181844_000000,030226_181844,N/A,2026-02-04T00:00:00,2026-02-04T03:24:58,12298,5.234,0.058,0.015,0.009,0.004,0.002,5.322,1.09,0.28,0.17,0.08,0.05
SEG_030226_181844_034323,030226_181844,N/A,2026-02-04T03:43:23,2026-02-04T07:17:20,12837,11.135,0.123,0.043,0.012,0.008,0.008,11.329,1.09,0.38,0.11,0.07,0.06
SEG_040226_235118_235118,040226_235118,N/A,2026-02-04T23:51:18,2026-02-04T23:59:59,521,10.630,0.127,0.029,0.017,0.008,0.005,10.816,1.17,0.27,0.15,0.07,0.06
SEG_040226_235118_000000,040226_235118,N/A,2026-02-05T00:00:00,2026-02-05T02:30:28,9028,9.721,0.110,0.047,0.013,0.006,0.005,9.902,1.11,0.47,0.14,0.06,0.05
SEG_040226_235118_023734,040226_235118,N/A,2026-02-05T02:37:34,2026-02-05T05:48:25,11451,7.580,0.109,0.025,0.009,0.008,0.003,7.734,1.41,0.32,0.12,0.10,0.05
SEG_040226_235118_060127,040226_235118,N/A,2026-02-05T06:01:27,2026-02-05T07:14:57,4410,9.337,0.150,0.032,0.013,0.009,0.006,9.547,1.57,0.33,0.14,0.10,0.06
SEG_040226_235118_073154,040226_235118,N/A,2026-02-05T07:31:54,2026-02-05T10:01:05,8951,9.545,0.085,0.025,0.009,0.012,0.003,9.679,0.88,0.26,0.09,0.12,0.04
SEG_040226_235118_101515,040226_235118,N/A,2026-02-05T10:15:15,2026-02-05T11:58:57,6222,7.721,0.086,0.039,0.012,0.007,0.004,7.869,1.09,0.50,0.15,0.09,0.05
SEG_050226_045626_045626,050226_045626,N/A,2026-02-05T04:56:26,2026-02-05T06:30:08,5622,10.836,0.143,0.055,0.012,0.011,0.005,11.062,1.30,0.50,0.11,0.10,0.04
SEG_050226_045626_063909,050226_045626,N/A,2026-02-05T06:39:09,2026-02-05T09:24:51,9942,5.695,0.079,0.023,0.010,0.005,0.002,5.814,1.36,0.39,0.17,0.08,0.05
SEG_050226_045626_093156,050226_045626,N/A,2026-02-05T09:31:56,2026-02-05T12:42:46,11450,5.642,0.055,0.024,0.010,0.004,0.002,5.737,0.96,0.42,0.17,0.06,0.04
SEG_050226_045626_124246,050226_045626,N/A,2026-02-05T12:42:46,2026-02-05T16:23:36,13250,6.436,0.097,0.026,0.009,0.007,0.003,6.578,1.48,0.39,0.14,0.11,0.04
SEG_050226_045626_162336,050226_045626,N/A,2026-02-05T16:23:36,2026-02-05T20:13:00,13764,5.020,0.077,0.015,0.005,0.004,0.001,5.122,1.50,0.28,0.10,0.07,0.04
SEG_070226_200800_200800,070226_200800,N/A,2026-02-07T20:08:00,2026-02-07T22:19:38,7898,9.122,0.073,0.029,0.009,0.008,0.004,9.245,0.79,0.32,0.10,0.09,0.04
SEG_070226_200800_223217,070226_200800,N/A,2026-02-07T22:32:17,2026-02-07T23:59:59,5262,8.593,0.076,0.033,0.015,0.005,0.006,8.728,0.87,0.38,0.17,0.06,0.06
SEG_070226_200800_000000,070226_200800,N/A,2026-02-08T00:00:00,2026-02-08T01:17:49,4669,11.069,0.137,0.042,0.019,0.007,0.006,11.280,1.22,0.37,0.17,0.06,0.05
SEG_070226_200800_013431,070226_200800,N/A,2026-02-08T01:34:31,2026-02-08T03:10:39,5768,8.432,0.133,0.023,0.008,0.008,0.003,8.607,1.54,0.27,0.09,0.10,0.04
SEG_070226_200800_032627,070226_200800,N/A,2026-02-08T03:26:27,2026-02-08T07:12:57,13590,8.838,0.095,0.046,0.012,0.008,0.005,9.004,1.05,0.51,0.13,0.09,0.05
SEG_080226_205044_205044,080226_205044,N/A,2026-02-08T20:50:44,2026-02-08T23:59:59,11355,9.556,0.139,0.043,0.010,0.008,0.005,9.761,1.43,0.44,0.10,0.09,0.04
SEG_080226_205044_000000,080226_205044,N/A,2026-02-09T00:00:00,2026-02-09T00:56:11,3371,7.373,0.087,0.027,0.007,0.006,0.005,7.505,1.16,0.36,0.09,0.09,0.06
SEG_080226_205044_010347,080226_205044,N/A,2026-02-09T01:03:47,2026-02-09T04:19:57,11770,5.470,0.083,0.015,0.005,0.006,0.003,5.582,1.48,0.27,0.09,0.10,0.06
SEG_080226_205044_043457,080226_205044,N/A,2026-02-09T04:34:57,2026-02-09T08:14:58,13201,8.932,0.122,0.032,0.015,0.011,0.005,9.117,1.34,0.36,0.16,0.12,0.05
SEG_090226_011838_011838,090226_011838,N/A,2026-02-09T01:18:38,2026-02-09T04:01:19,9761,5.725,0.070,0.017,0.007,0.007,0.003,5.829,1.21,0.29,0.13,0.11,0.04
SEG_090226_011838_040816,090226_011838,N/A,2026-02-09T04:08:16,2026-02-09T06:31:00,8564,9.019,0.135,0.044,0.016,0.010,0.004,9.228,1.46,0.47,0.17,0.11,0.05
SEG_090226_011838_063626,090226_011838,N/A,2026-02-09T06:36:26,2026-02-09T10:29:23,13977,11.504,0.173,0.037,0.012,0.012,0.006,11.744,1.48,0.32,0.10,0.10,0.04
SEG_090226_011838_103429,090226_011838,N/A,2026-02-09T10:34:29,2026-02-09T12:30:41,6972,11.089,0.142,0.040,0.011,0.011,0.004,11.297,1.26,0.35,0.10,0.10,0.03
